"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"Stratford","WI","Wausau","Marathon",5558,133800,0.00224719101123596,0.00828937452901281,0.0949263502454992,0.0150020128943731,0.0146406915508683,"2014-12","2014-Q4",133800,0,"2014-12"
2014-12-31,"Newman Lake","WA","Spokane","Spokane",5559,206200,0.0122729504172803,0.0361809045226131,0.104445634708088,0.00612451965109151,0.0326085263588294,"2009-04","2009-Q2",209000,-0.0133971291866029,"2009-02"
2014-12-31,"Harrisburg","OR","Albany","Linn",5560,178000,0.00394811054709532,0.02122776821572,0.0900183710961421,-0.00498087862520535,0.0136707124299957,"2007-08","2007-Q3",211200,-0.15719696969697,"2006-01"
2014-12-31,"Sturtevant","WI","Racine","Racine",5561,123300,0.010655737704918,0.0326633165829146,0.0712423979148566,-0.0160651709736602,-0.0114862863750433,"2007-04","2007-Q2",147100,-0.161794697484704,"2003-10"
2014-12-31,"Olyphant","PA","Scranton","Lackawanna",5562,111400,0.00179856115107914,0.0164233576642336,-0.0716666666666667,-0.0102684018917489,0.0235108449294996,"2014-02","2014-Q1",122300,-0.089125102207686,"2013-04"
2014-12-31,"Bensley","VA","Richmond","Chesterfield",5563,117100,0.00601374570446736,0.0191470844212359,-0.0184409052808047,-0.0273268622773195,0.00840297711632498,"2007-11","2007-Q4",144200,-0.187933425797503,"2005-05"
2014-12-31,"Northumberland","NY","Albany","Saratoga",5564,189800,0.0063626723223754,0.014430785676109,0.00158311345646438,0.00677408475506347,0.0157755822701333,"2006-08","2006-Q3",196100,-0.0321264660887302,"2006-03"
2014-12-31,"Laurel Bay","SC","Hilton Head Island","Beaufort",5565,127400,0.0111111111111111,0.0274193548387097,0.161349134001823,-0.0323910003029314,-0.00503807181006,"2007-08","2007-Q3",160100,-0.204247345409119,"2004-09"
2014-12-31,"Medina","TN","Humboldt","Gibson",5566,138000,0.0087719298245614,0.0229799851742031,0.0987261146496815,0.025120872198527,0.0221954243694593,"2014-12","2014-Q4",138000,0,"2014-12"
2014-12-31,"Eastham","MA","Cape Cod","Barnstable",5567,420800,0.00166626993572959,0.00862895493767977,0.0169163847269212,0.00550811181216093,-0.00747771085784976,"2005-05","2005-Q2",461700,-0.0885856616850769,"2004-05"
